,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
45,43,Buddy Hield,SG,SAC,82,31.9,0.46  (7.6/16.6),0.88  (2.1/2.4),3.4,20.7,5.0,2.5,0.7,0.4,1.8,4.33
46,44,Pascal Siakam,PF,TOR,80,31.8,0.55  (6.5/11.8),0.79  (3.0/3.8),1.0,16.9,6.9,3.1,0.9,0.6,1.9,4.30
47,45,John Wall,PG,WAS,32,34.5,0.45  (7.7/17.2),0.69  (3.8/5.5),1.6,20.7,3.6,8.7,1.5,0.9,3.8,4.20
48,46,Donovan Mitchell,PG/SG,UTA,77,33.7,0.43  (8.6/19.9),0.80  (4.1/5.1),2.4,23.8,4.1,4.2,1.4,0.4,2.8,4.15
49,47,Eric Bledsoe,PG/SG,MIL,78,29.1,0.48  (6.0/12.5),0.77  (2.3/3.0),1.6,15.9,4.6,5.5,1.5,0.4,2.1,4.14
50,48,John Collins,PF/C,ATL,61,30.0,0.56  (7.6/13.6),0.77  (3.3/4.3),0.9,19.5,9.8,2.0,0.4,0.6,2.0,4.08
51,49,Lauri Markkanen,PF,CHI,52,32.3,0.43  (6.6/15.3),0.87  (3.3/3.8),2.3,18.7,9.1,1.4,0.7,0.6,1.7,3.85
52,50,Marc Gasol,C,TOR,79,30.8,0.45  (4.9/11.0),0.75  (2.4/3.2),1.3,13.6,8.0,4.4,1.1,1.1,2.0,3.80
53,51,Ben Simmons,PG/SF,PHI,79,34.2,0.56  (6.8/12.2),0.61  (3.3/5.4),0.0,16.9,8.8,7.7,1.4,0.8,3.5,3.76
54,52,Draymond Green,PF/C,GSW,66,31.3,0.44  (2.8/6.4),0.71  (1.0/1.4),0.7,7.4,7.3,6.9,1.4,1.1,2.6,3.68
55,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
56,53,Kevin Love,PF/C,CLE,22,27.2,0.39  (5.0/12.9),0.90  (4.7/5.2),2.4,17.0,10.9,2.2,0.3,0.3,1.9,3.46
57,54,Victor Oladipo,PG/SG,IND,36,31.9,0.42  (6.9/16.3),0.74  (2.9/3.9),2.1,18.8,5.6,5.2,1.7,0.3,2.3,3.45
58,55,De'Aaron Fox,PG,SAC,81,31.4,0.46  (6.2/13.6),0.73  (3.7/5.1),1.1,17.3,3.8,7.3,1.6,0.6,2.8,3.36
59,56,JaVale McGee,C,LAL,75,22.3,0.62  (5.3/8.5),0.65  (1.3/2.0),0.0,12.0,7.6,0.7,0.6,2.0,1.4,3.34
